text,role
"Алло.",Клиент
"Здравствуйте.",Менеджер
"Здравствуйте.",Клиент
"Меня зовут Александра.",Менеджер
"Недавно вы интересовались дизайном интерьера.",Менеджер
"Подскажите, для вас.",Менеджер
"Актуальен данный.",Менеджер
"Запрос?",Менеджер
"Ну, наверное, пока временно нет.",Клиент
"Подскажите, а когда можно будет связаться с вами, чтобы уточнить потребность?",Менеджер
"Когда будет актуально?",Менеджер
"А что за компания?",Клиент
"Наша компания называется.",Менеджер
"Люкхаус.",Менеджер
"Люкхаус.",Клиент
"Я вам не звонила.",Клиент
"Скорее всего, обращались на наш сайт.",Менеджер
"Не знаю.",Клиент
"На самом деле пока может быть в марте.",Клиент
"Ближе к лету.",Клиент
"Услышала вас.",Менеджер
"Как могу к вам обращаться?",Менеджер
"Екатерина.",Клиент
"Екатерина, в таком случае свяжемся.",Менеджер
"С вами в марте.",Менеджер
"Я с вами прощаюсь.",Менеджер
"Всего доброго.",Менеджер
"Всего доброго.",Клиент
"Алло.",Клиент
"Добрый день.",Менеджер
"Меня зовут Александра.",Менеджер
"Я звоню уточнить.",Менеджер
"Вы недавно интересовались дизайном интерьера.",Менеджер
"Скажите, для вас актуален данный запрос?",Менеджер
"Пока нет.",Клиент
"Почему?",Менеджер
"Скажите, а когда будет актуален?",Менеджер
"Когда можно будет перезвонить вам, чтобы уточнить потребность?",Менеджер
"А вы какую фирму представляете?",Клиент
"Компания Люксхаус.",Менеджер
"Дизайн интерьера с 3D-визуализацией.",Менеджер
"Ремонт под ключ.",Менеджер
"Москва.",Менеджер
"Московская область.",Менеджер
"Помню, но может быть еще не иметь.",Клиент
"Да я...",Клиент
"Вы присылали же какие-то материалы, да?",Клиент
"Возможно.",Менеджер
"Изучу, сам наберу, спасибо.",Клиент
"Как могу к вам обращаться?",Менеджер
"Максим.",Клиент
"Максим, подскажите, удобно ли будет перезвонить вам через две недели, например, чтобы уточнить потребность?",Менеджер
"Можно.",Клиент
"Хорошо.",Менеджер
"В таком случае свяжемся с вами.",Менеджер
"Благодарю вас за уделенное время.",Менеджер
"Всего доброго.",Менеджер
